Valeur fonciere,Surface reelle bati,Commune,Code postal,Date mutation,Nature mutation,prix_au_m2,mois,trimestre,categorie_prix,categorie_surface
250000.0,80,MONTRICHARD VAL DE CHER,41400,2023-05-02,Vente,3125.0,5,2,250k-500k,80-120 m²
103000.0,71,PAULHAN,34230,2023-10-23,Vente,1450.7,10,4,100k-250k,50-80 m²
400000.0,15,NICE,6000,2023-07-11,Vente,26666.67,7,3,250k-500k,<30 m²
300000.0,80,FREJUS,83600,2023-07-03,Vente,3750.0,7,3,250k-500k,80-120 m²
21090.0,60,CHAMBON-SUR-VOUEIZE,23170,2023-12-11,Vente,351.5,12,4,<100k,50-80 m²
218000.0,63,BETTON,35830,2023-01-09,Vente,3460.32,1,1,100k-250k,50-80 m²
180000.0,101,CAMBRAI,59400,2023-04-28,Vente,1782.18,4,2,100k-250k,80-120 m²
77600.0,26,FONT-ROMEU ODEILLO-VIA,66120,2023-12-14,Vente,2984.62,12,4,<100k,<30 m²
370840.0,100,BRUZ,35170,2023-01-25,Vente,3708.4,1,1,250k-500k,80-120 m²
2838000.0,46,ROISSY-EN-FRANCE,95700,2023-08-17,Vente,61695.65,8,3,>1M,30-50 m²
125800.0,32,VILLARD-DE-LANS,38250,2023-09-19,Vente,3931.25,9,3,100k-250k,30-50 m²
306000.0,98,SAINT-LAURENT-SUR-SEVRE,85290,2023-08-03,Vente,3122.45,8,3,250k-500k,80-120 m²
605700.0,185,PIN BALMA,31130,2023-11-29,Vente,3274.05,11,4,500k-1M,>120 m²
1915944.0,29,NIMES,30000,2023-09-13,Vente,66067.03,9,3,>1M,<30 m²
294500.0,56,TOULOUSE,31400,2023-08-29,Vente,5258.93,8,3,250k-500k,50-80 m²
35000.0,84,SAINT-JEAN-DE-LOSNE,21170,2023-11-03,Vente,416.67,11,4,<100k,80-120 m²
300000.0,86,ST SULPICE DE GRIMBOUVILLE,27210,2023-03-23,Vente,3488.37,3,1,250k-500k,80-120 m²
217500.0,53,CAVALAIRE-SUR-MER,83240,2023-10-04,Vente,4103.77,10,4,100k-250k,50-80 m²
440000.0,55,BEZONS,95870,2023-12-15,Vente,8000.0,12,4,250k-500k,50-80 m²
77500.0,29,SAINT-NICOLAS-D ALIERMONT,76510,2023-12-19,Vente,2672.41,12,4,<100k,<30 m²
144000.0,101,CHARQUEMONT,25140,2023-05-02,Vente,1425.74,5,2,100k-250k,80-120 m²
392300.0,129,AMIENS,80000,2023-06-26,Vente,3041.09,6,2,250k-500k,>120 m²
78850.0,42,ST CEZERT,31330,2023-08-22,Vente,1877.38,8,3,<100k,30-50 m²
189000.0,81,AMPLEPUIS,69550,2023-05-23,Vente,2333.33,5,2,100k-250k,80-120 m²
7000000.0,261,MANDELIEU-LA-NAPOULE,6210,2023-07-24,Vente,26819.92,7,3,>1M,>120 m²
460000.0,42,DIJON,21000,2023-09-27,Vente,10952.38,9,3,250k-500k,30-50 m²
183000.0,101,NIORT,79000,2023-12-18,Vente,1811.88,12,4,100k-250k,80-120 m²
500000.0,114,LA CRAU,83260,2023-05-22,Vente,4385.96,5,2,500k-1M,80-120 m²
88000.0,78,GARCHIZY,58600,2023-03-16,Vente,1128.21,3,1,<100k,50-80 m²
300000.0,250,REDON,35600,2023-03-23,Vente,1200.0,3,1,250k-500k,>120 m²
409155.34,216,LOGES-EN-JOSAS (LES),78350,2023-12-27,Vente,1894.24,12,4,250k-500k,>120 m²
905853.6,1986,NEMOURS,77140,2023-07-19,Vente,456.12,7,3,500k-1M,>120 m²
130000.0,180,DENAIN,59220,2023-06-30,Vente,722.22,6,2,100k-250k,>120 m²
240000.0,94,JONZIEUX,42660,2023-02-10,Vente,2553.19,2,1,100k-250k,80-120 m²
1300000.0,18,NICE,6300,2023-09-25,Vente,72222.22,9,3,>1M,<30 m²
300000.0,90,SAINT-JEAN-DE-LOSNE,21170,2023-09-25,Vente,3333.33,9,3,250k-500k,80-120 m²
183000.0,80,BEAUMONT-LOUESTAULT,37360,2023-02-08,Vente,2287.5,2,1,100k-250k,80-120 m²
135000.0,36,CLAYE-SOUILLY,77410,2023-12-21,Vente,3750.0,12,4,100k-250k,30-50 m²
565000.0,91,BANGOR,56360,2023-09-01,Vente,6208.79,9,3,500k-1M,80-120 m²
273000.0,185,PEYROULES,4120,2023-03-02,Vente,1475.68,3,1,250k-500k,>120 m²
309300.0,97,CHICHILIANNE,38930,2023-11-06,Vente,3188.66,11,4,250k-500k,80-120 m²
145000.0,27,SAINT-DENIS,93200,2023-09-25,Vente,5370.37,9,3,100k-250k,<30 m²
250000.0,86,BENOUVILLE,14970,2023-07-24,Vente,2906.98,7,3,250k-500k,80-120 m²
150000.0,83,SAINT-ANDRE,97440,2023-10-27,Vente,1807.23,10,4,100k-250k,80-120 m²
240000.0,48,BUSSY-SAINT-GEORGES,77600,2023-07-19,Vente,5000.0,7,3,100k-250k,30-50 m²
490000.0,160,FERRIERES-EN-BRIE,77164,2023-09-08,Vente,3062.5,9,3,250k-500k,>120 m²
250000.0,92,LOIREAUXENCE,44370,2023-02-09,Vente,2717.39,2,1,250k-500k,80-120 m²
110000.0,42,FOUESNANT,29170,2023-01-19,Vente,2619.05,1,1,100k-250k,30-50 m²
33000.0,57,CHOLET,49300,2023-02-13,Adjudication,578.95,2,1,<100k,50-80 m²
368500.0,115,MONTS,37260,2023-09-27,Vente,3204.35,9,3,250k-500k,80-120 m²
238550.0,50,TOULOUSE,31000,2023-01-20,Vente,4771.0,1,1,100k-250k,50-80 m²
170000.0,170,COUZEIX,87270,2023-12-26,Vente,1000.0,12,4,100k-250k,>120 m²
81400.0,39,CARHAIX-PLOUGUER,29270,2023-02-24,Vente,2087.18,2,1,<100k,30-50 m²
264600.0,84,THONON LES BAINS,74200,2023-11-20,Vente,3150.0,11,4,250k-500k,80-120 m²
35000.0,112,SAINT QUENTIN,2100,2023-04-14,Vente,312.5,4,2,<100k,80-120 m²
900000.0,30,PARIS 19,75019,2023-08-03,Vente,30000.0,8,3,500k-1M,30-50 m²
40000.0,30,PERPIGNAN,66000,2023-02-24,Vente,1333.33,2,1,<100k,30-50 m²
208550.0,160,MIRAMONT-DE-COMMINGES,31800,2023-02-07,Vente,1303.44,2,1,100k-250k,>120 m²
247000.0,133,AMILLY,45200,2023-07-27,Vente,1857.14,7,3,100k-250k,>120 m²
202000.0,80,MONTROND-LES-BAINS,42210,2023-12-18,Vente,2525.0,12,4,100k-250k,80-120 m²
675350.0,161,VAUX-SUR-AURE,14400,2023-10-19,Vente,4194.72,10,4,500k-1M,>120 m²
176700.0,123,ST ERME OUTRE ET RAMECOURT,2820,2023-04-14,Vente,1436.59,4,2,100k-250k,>120 m²
401950.0,72,RUEIL-MALMAISON,92500,2023-11-16,Vente,5582.64,11,4,250k-500k,50-80 m²
150000.0,95,ST MARTIN DU TILLEUL,27300,2023-06-27,Vente,1578.95,6,2,100k-250k,80-120 m²
368000.0,40,ALBI,81000,2023-07-29,Vente,9200.0,7,3,250k-500k,30-50 m²
245000.0,93,ST JACQUES DE LA LANDE,35136,2023-12-29,Vente,2634.41,12,4,100k-250k,80-120 m²
1874667.0,97,LIBOURNE,33500,2023-08-29,Vente,19326.46,8,3,>1M,80-120 m²
357000.0,48,TROUVILLE-SUR-MER,14360,2023-07-19,Vente,7437.5,7,3,250k-500k,30-50 m²
455000.0,108,CHOISY-LE-ROI,94600,2023-05-10,Vente,4212.96,5,2,250k-500k,80-120 m²
3000000.0,197,GASSIN,83580,2023-06-12,Vente,15228.43,6,2,>1M,>120 m²
143000.0,202,VATAN,36150,2023-11-09,Vente,707.92,11,4,100k-250k,>120 m²
46000.0,40,OREE D ANJOU,49270,2023-07-26,Vente,1150.0,7,3,<100k,30-50 m²
92000.0,130,TOULON,83000,2023-02-21,Vente,707.69,2,1,<100k,>120 m²
3000000.0,71,LYON 2EME,69002,2023-05-02,Vente,42253.52,5,2,>1M,50-80 m²
68000.0,56,LA FAGE-ST-JULIEN,48200,2023-08-09,Vente,1214.29,8,3,<100k,50-80 m²
417940.0,28,VOLX,4130,2023-03-07,Vente,14926.43,3,1,250k-500k,<30 m²
90000.0,102,BRUYERES,88600,2023-10-16,Vente,882.35,10,4,<100k,80-120 m²
96000.0,110,LANGRES,52200,2023-01-16,Vente,872.73,1,1,<100k,80-120 m²
515000.0,185,SAINT-MARTIN-DU-VIVIER,76160,2023-10-16,Vente,2783.78,10,4,500k-1M,>120 m²
205000.0,47,BORDEAUX,33000,2023-12-01,Vente,4361.7,12,4,100k-250k,30-50 m²
850000.0,11,CERGY,95800,2023-01-16,Vente,77272.73,1,1,500k-1M,<30 m²
76000.0,95,SEVRES ANXAUMONT,86800,2023-07-28,Vente,800.0,7,3,<100k,80-120 m²
280000.0,118,PLOUMAGOAR,22970,2023-09-08,Vente,2372.88,9,3,250k-500k,80-120 m²
962610.0,77,MESPLEDE,64370,2023-09-22,Vente,12501.43,9,3,500k-1M,50-80 m²
92000.0,25,MONTPELLIER,34090,2023-07-28,Vente,3680.0,7,3,<100k,<30 m²
184000.0,75,POITIERS,86000,2023-12-08,Vente,2453.33,12,4,100k-250k,50-80 m²
180000.0,84,LUZECH,46140,2023-12-21,Vente,2142.86,12,4,100k-250k,80-120 m²
20000.0,30,CHUELLES,45220,2023-08-28,Vente,666.67,8,3,<100k,30-50 m²
